id;name;region_code;group_name
1;whereas dimly disconnection;adventurously aha we;whoever bad
2;supplier pish worth;during;hasty anti
3;wriggler mediocre;stoop;mmm unbearably
4;yet;help lanky controver;ouch
5;affiliate;psst;er
6;across unkempt appropriate;extension oof;wasteful simplistic 
7;since once good-natured;fluffy notwithstandi;before absent finall
8;likewise backburn happy-go-lucky;faithfully formula w;nautical thoroughly
9;majestic;gah eminent;official inside whoe
10;splash out;times bootleg elasti;sequester plagiarise
